iter	Passed	Remaining
0	151	151397
1	153	76511
2	154	51438
3	156	38950
4	158	31481
5	160	26591
6	162	23031
7	163	20326
8	168	18590
9	171	16953
10	172	15553
11	174	14363
12	176	13379
13	178	12545
14	179	11803
15	181	11149
16	182	10560
17	184	10054
18	185	9580
19	186	9142
20	187	8748
21	188	8384
22	189	8061
23	191	7771
24	192	7497
25	193	7246
26	194	7012
27	195	6793
28	196	6577
29	197	6375
30	197	6186
31	198	6009
32	199	5845
33	200	5699
34	201	5552
35	202	5415
36	203	5293
37	204	5188
38	206	5076
39	206	4963
40	207	4857
41	208	4756
42	209	4658
43	210	4565
44	210	4476
45	211	4390
46	212	4309
47	213	4233
48	214	4158
49	215	4094
50	216	4032
51	217	3967
52	218	3904
53	219	3841
54	220	3780
55	220	3722
56	222	3680
57	223	3627
58	224	3575
59	224	3524
60	225	3474
61	227	3438
62	229	3410
63	230	3368
64	231	3326
65	232	3284
66	232	3242
67	233	3197
68	234	3158
69	234	3120
70	235	3082
71	236	3047
72	237	3017
73	238	2983
74	239	2949
75	240	2923
76	242	2909
77	243	2879
78	244	2849
79	245	2819
80	245	2789
81	246	2761
82	247	2733
83	248	2708
84	248	2679
85	249	2654
86	250	2626
87	251	2602
88	251	2577
89	252	2557
90	254	2537
91	254	2516
92	255	2494
93	257	2477
94	257	2456
95	258	2435
96	259	2414
97	260	2394
98	260	2374
99	261	2357
100	262	2338
101	263	2316
102	263	2298
103	264	2280
104	265	2265
105	267	2253
106	268	2238
107	269	2223
108	270	2208
109	270	2192
110	271	2176
111	272	2160
112	273	2144
113	273	2129
114	274	2114
115	275	2098
116	276	2084
117	277	2070
118	277	2055
119	278	2042
120	279	2030
121	280	2021
122	281	2006
123	282	1993
124	282	1980
125	283	1967
126	284	1955
127	285	1941
128	285	1930
129	286	1918
130	287	1906
131	288	1894
132	289	1884
133	289	1873
134	290	1862
135	291	1855
136	293	1846
137	294	1840
138	295	1830
139	296	1819
140	296	1809
141	297	1799
142	298	1788
143	299	1779
144	300	1770
145	301	1760
146	301	1751
147	302	1741
148	303	1731
149	304	1724
150	306	1721
151	307	1715
152	308	1706
153	309	1697
154	310	1690
155	310	1682
156	311	1673
157	312	1664
158	313	1656
159	313	1647
160	314	1640
161	315	1632
162	316	1624
163	317	1618
164	318	1612
165	319	1607
166	321	1601
167	321	1594
168	322	1586
169	323	1580
170	324	1573
171	325	1565
172	326	1558
173	326	1551
174	327	1544
175	328	1537
176	329	1530
177	329	1523
178	330	1516
179	331	1511
180	334	1511
181	335	1506
182	335	1499
183	336	1493
184	338	1490
185	339	1484
186	340	1479
187	341	1473
188	342	1467
189	343	1462
190	347	1472
191	349	1469
192	350	1464
193	350	1457
194	351	1451
195	352	1445
196	353	1440
197	354	1434
198	354	1428
199	355	1422
200	356	1416
201	357	1410
202	358	1407
203	359	1404
204	360	1399
205	361	1394
206	362	1389
207	363	1383
208	364	1378
209	364	1372
210	365	1367
211	366	1362
212	367	1357
213	368	1351
214	368	1346
215	369	1341
216	370	1337
217	371	1333
218	372	1328
219	373	1323
220	373	1318
221	374	1312
222	375	1308
223	376	1303
224	377	1298
225	377	1294
226	378	1289
227	379	1284
228	380	1280
229	381	1276
230	382	1272
231	383	1269
232	384	1266
233	385	1262
234	386	1257
235	387	1253
236	387	1248
237	388	1244
238	389	1240
239	390	1235
240	390	1231
241	391	1226
242	392	1222
243	393	1218
244	393	1214
245	395	1210
246	396	1208
247	397	1205
248	398	1201
249	399	1197
250	400	1194
251	400	1189
252	401	1186
253	402	1183
254	403	1179
255	405	1177
256	405	1173
257	406	1169
258	407	1165
259	408	1163
260	410	1161
261	411	1158
262	412	1154
263	412	1150
264	413	1147
265	414	1143
266	415	1139
267	416	1136
268	416	1132
269	417	1128
270	418	1124
271	418	1121
272	419	1117
273	420	1113
274	421	1110
275	422	1107
276	423	1105
277	424	1101
278	425	1098
279	425	1095
280	426	1091
281	427	1088
282	428	1084
283	429	1081
284	429	1078
285	430	1075
286	431	1071
287	432	1068
288	433	1065
289	433	1061
290	434	1059
291	436	1057
292	437	1054
293	438	1051
294	438	1048
295	439	1046
296	440	1043
297	441	1040
298	442	1037
299	443	1034
300	444	1031
301	445	1028
302	445	1025
303	446	1022
304	448	1022
305	449	1019
306	450	1017
307	451	1014
308	452	1011
309	453	1009
310	454	1006
311	455	1004
312	456	1001
313	456	998
314	459	998
315	460	997
316	462	996
317	463	994
318	464	991
319	465	989
320	466	986
321	467	984
322	468	981
323	469	979
324	505	1050
325	507	1049
326	508	1046
327	509	1044
328	510	1041
329	511	1038
330	512	1035
331	513	1032
332	514	1029
333	514	1026
334	524	1040
335	525	1038
336	526	1035
337	527	1032
338	528	1030
339	529	1027
340	530	1024
341	531	1022
342	532	1020
343	533	1017
344	534	1014
345	535	1012
346	536	1009
347	537	1006
348	538	1003
349	538	1000
350	539	997
351	540	994
352	540	991
353	541	988
354	542	985
355	543	982
356	544	980
357	545	978
358	546	975
359	547	973
360	548	970
361	549	968
362	550	965
363	550	962
364	551	960
365	552	957
366	553	954
367	554	951
368	554	949
369	555	946
370	556	944
371	558	942
372	559	940
373	560	937
374	560	934
375	561	932
376	562	929
377	563	926
378	564	924
379	564	921
380	565	918
381	566	916
382	566	913
383	567	910
384	568	908
385	569	906
386	570	904
387	572	902
388	573	900
389	574	898
390	574	895
391	575	893
392	576	890
393	577	888
394	578	885
395	579	883
396	579	880
397	580	878
398	581	875
399	582	873
400	583	871
401	584	869
402	585	867
403	586	865
404	587	862
405	587	860
406	588	857
407	589	855
408	590	853
409	591	850
410	592	848
411	592	846
412	593	843
413	594	841
414	595	838
415	596	837
416	597	835
417	598	833
418	599	831
419	601	829
420	601	827
421	602	825
422	604	824
423	605	822
424	605	819
425	606	817
426	607	815
427	608	813
428	609	811
429	610	809
430	611	806
431	611	804
432	612	802
433	613	799
434	614	797
435	615	795
436	615	793
437	616	791
438	617	788
439	617	786
440	619	784
441	619	782
442	620	780
443	621	778
444	622	776
445	623	775
446	624	772
447	625	770
448	626	768
449	626	766
450	627	764
451	628	762
452	629	760
453	630	757
454	630	755
455	631	753
456	632	751
457	633	749
458	634	747
459	635	745
460	636	743
461	636	741
462	637	739
463	638	737
464	639	735
465	639	733
466	640	731
467	641	729
468	642	726
469	642	724
470	643	722
471	644	720
472	645	718
473	645	716
474	647	715
475	648	714
476	650	713
477	651	711
478	651	709
479	652	707
480	653	705
481	654	703
482	654	701
483	655	699
484	656	697
485	657	695
486	658	693
487	658	691
488	659	689
489	660	687
490	661	685
491	662	684
492	663	682
493	664	680
494	665	678
495	665	676
496	666	674
497	667	672
498	668	670
499	669	669
500	670	667
501	670	665
502	671	663
503	672	661
504	673	660
505	674	658
506	675	656
507	676	654
508	677	653
509	677	651
510	678	649
511	679	647
512	680	645
513	680	643
514	681	641
515	682	640
516	683	638
517	684	636
518	684	634
519	685	632
520	686	631
521	688	630
522	688	628
523	689	626
524	690	624
525	691	622
526	691	620
527	692	619
528	693	617
529	694	615
530	694	613
531	695	611
532	696	609
533	696	608
534	697	606
535	698	604
536	700	604
537	701	602
538	702	600
539	703	599
540	704	597
541	704	595
542	705	593
543	706	592
544	707	590
545	707	588
546	708	586
547	709	585
548	710	583
549	711	581
550	711	580
551	713	578
552	714	577
553	715	575
554	716	574
555	716	572
556	717	570
557	718	569
558	719	567
559	719	565
560	720	563
561	721	562
562	722	560
563	722	558
564	723	557
565	724	555
566	725	553
567	726	552
568	728	551
569	729	550
570	730	548
571	730	546
572	731	545
573	732	543
574	733	541
575	733	540
576	734	538
577	735	537
578	736	535
579	737	533
580	738	532
581	739	531
582	740	529
583	741	528
584	742	526
585	743	525
586	744	523
587	745	522
588	745	520
589	746	518
590	747	517
591	748	515
592	749	514
593	750	512
594	750	511
595	751	509
596	753	508
597	754	507
598	755	505
599	756	504
600	756	502
601	757	500
602	758	499
603	759	497
604	760	496
605	760	494
606	761	493
607	762	491
608	762	489
609	763	488
610	764	486
611	765	485
612	766	484
613	767	482
614	768	481
615	769	479
616	770	478
617	771	476
618	771	475
619	772	473
620	773	472
621	774	470
622	774	468
623	775	467
624	776	465
625	777	464
626	778	462
627	779	461
628	780	460
629	780	458
630	781	457
631	782	455
632	783	454
633	784	452
634	784	451
635	785	449
636	786	448
637	787	446
638	787	445
639	788	443
640	789	442
641	789	440
642	790	439
643	792	437
644	793	436
645	793	435
646	794	433
647	795	432
648	796	430
649	797	429
650	797	427
651	798	426
652	799	424
653	799	423
654	800	421
655	801	420
656	802	419
657	803	417
658	804	416
659	805	415
660	806	413
661	807	412
662	808	410
663	808	409
664	809	407
665	810	406
666	811	405
667	812	403
668	812	402
669	813	400
670	814	399
671	815	398
672	816	396
673	817	395
674	818	393
675	819	392
676	820	391
677	820	389
678	821	388
679	822	386
680	823	385
681	823	384
682	824	382
683	825	381
684	826	379
685	826	378
686	827	377
687	828	375
688	829	374
689	830	373
690	831	371
691	832	370
692	833	369
693	834	367
694	835	366
695	835	365
696	836	363
697	837	362
698	838	360
699	839	359
700	840	358
701	840	356
702	841	355
703	842	354
704	842	352
705	843	351
706	845	350
707	846	348
708	846	347
709	847	346
710	848	344
711	849	343
712	849	342
713	850	340
714	851	339
715	852	337
716	852	336
717	853	335
718	854	333
719	854	332
720	855	331
721	856	329
722	857	328
723	859	327
724	860	326
725	861	325
726	862	323
727	863	322
728	864	321
729	865	319
730	866	318
731	867	317
732	868	316
733	868	314
734	870	313
735	872	313
736	873	311
737	874	310
738	875	309
739	876	308
740	877	306
741	878	305
742	879	304
743	880	302
744	881	301
745	882	300
746	883	299
747	884	298
748	885	296
749	886	295
750	887	294
751	888	293
752	889	291
753	890	290
754	891	289
755	891	287
756	893	286
757	894	285
758	895	284
759	897	283
760	898	282
761	899	280
762	900	279
763	901	278
764	902	277
765	903	275
766	904	274
767	904	273
768	905	272
769	906	270
770	907	269
771	909	268
772	910	267
773	911	266
774	912	264
775	913	263
776	914	262
777	915	261
778	916	259
779	917	258
780	917	257
781	918	256
782	919	254
783	920	253
784	923	252
785	924	251
786	925	250
787	925	249
788	926	247
789	927	246
790	928	245
791	929	244
792	930	242
793	931	241
794	932	240
795	933	239
796	934	237
797	935	236
798	937	235
799	937	234
800	938	233
801	939	231
802	940	230
803	941	229
804	941	228
805	942	226
806	943	225
807	944	224
808	944	223
809	945	221
810	946	220
811	949	219
812	950	218
813	950	217
814	951	216
815	952	214
816	953	213
817	953	212
818	954	210
819	955	209
