iter	Passed	Remaining
0	141	141561
1	144	72283
2	147	49177
3	150	37460
4	154	30652
5	156	25969
6	159	22575
7	161	19994
8	163	17968
9	167	16536
10	168	15194
11	170	14066
12	172	13102
13	174	12278
14	175	11555
15	177	10921
16	179	10403
17	181	9907
18	183	9454
19	184	9044
20	186	8673
21	187	8334
22	188	8025
23	190	7740
24	191	7476
25	193	7247
26	195	7035
27	196	6829
28	198	6641
29	199	6457
30	201	6286
31	202	6124
32	203	5973
33	205	5832
34	206	5700
35	208	5587
36	210	5467
37	211	5353
38	212	5243
39	214	5139
40	215	5041
41	216	4947
42	218	4857
43	219	4772
44	221	4690
45	223	4624
46	224	4554
47	226	4482
48	227	4413
49	228	4347
50	230	4283
51	231	4220
52	233	4166
53	234	4109
54	236	4059
55	238	4012
56	239	3960
57	240	3910
58	242	3862
59	243	3814
60	244	3768
61	246	3727
62	247	3682
63	248	3637
64	249	3593
65	251	3556
66	252	3515
67	253	3475
68	254	3436
69	255	3396
70	256	3358
71	257	3320
72	258	3284
73	259	3248
74	260	3216
75	261	3183
76	262	3149
77	263	3117
78	264	3086
79	266	3065
80	267	3035
81	268	3008
82	269	2974
83	270	2947
84	271	2921
85	272	2895
86	273	2869
87	274	2846
88	275	2822
89	276	2798
90	277	2774
91	278	2751
92	279	2730
93	281	2711
94	282	2690
95	283	2670
96	284	2650
97	285	2630
98	286	2609
99	287	2589
100	288	2570
101	289	2551
102	290	2532
103	291	2513
104	292	2495
105	293	2477
106	294	2461
107	296	2447
108	297	2430
109	298	2414
110	299	2398
111	300	2381
112	301	2365
113	302	2350
114	303	2335
115	304	2320
116	305	2303
117	306	2288
118	307	2274
119	308	2260
120	309	2246
121	310	2234
122	311	2221
123	312	2208
124	313	2195
125	314	2182
126	315	2168
127	316	2155
128	317	2144
129	318	2132
130	319	2120
131	320	2107
132	321	2095
133	322	2083
134	323	2072
135	324	2061
136	325	2052
137	326	2042
138	328	2031
139	329	2021
140	330	2010
141	330	1998
142	331	1988
143	332	1977
144	333	1967
145	334	1957
146	335	1947
147	336	1937
148	337	1928
149	338	1919
150	340	1913
151	341	1905
152	342	1897
153	343	1888
154	344	1879
155	345	1871
156	346	1862
157	347	1853
158	348	1845
159	349	1837
160	350	1827
161	351	1818
162	352	1811
163	353	1803
164	355	1798
